纳税人识别号,纳税人名称,评价年度,税务机关
360723L27103811,大余县内良黄溪水口电站,2018,国家税务总局大余县税务局南安税务分局
91360723332976835C,大余县辉煌建筑材料有限公司,2018,国家税务总局大余县税务局第二税务分局
913607237872738612,大余县赣源医药有限公司,2018,国家税务总局大余县税务局第二税务分局
9136072308711363XR,大余县银河钨钼制品有限公司,2018,国家税务总局大余县税务局第二税务分局
91360723083930798A,大余县立信机械制造有限公司,2018,国家税务总局大余县税务局南安税务分局
913607230910705487,大余县银剑矿业有限公司,2018,国家税务总局大余县税务局第二税务分局
360723071839161,江西大余农村商业银行股份有限公司,2018,国家税务总局大余县税务局第二税务分局
913607007969613916,江西榄菊日化实业有限公司,2018,国家税务总局大余县税务局第二税务分局
91360723MA35FE1E8P,江西省千陶新型材料有限公司,2018,国家税务总局大余县税务局第二税务分局
91360723571182741A,大余县荣发耐磨件铸造有限公司,2018,国家税务总局大余县税务局黄龙税务分局
913607235711922452,大余漂塘精岩机械制造有限公司,2018,国家税务总局大余县税务局黄龙税务分局
913607237339072160,大余县池江中心卫生院,2018,国家税务总局大余县税务局新城税务分局
360723756789574,大余县万事达矿山机械有限公司,2018,国家税务总局大余县税务局第二税务分局
913607006620292754,大余欧派手袋皮具有限公司,2018,国家税务总局大余县税务局第二税务分局
91360700784139704C,旭光（赣州）电子有限公司,2018,国家税务总局大余县税务局第二税务分局
91360723739167706A,大余县中医院,2018,国家税务总局大余县税务局第二税务分局
913607236620468848,江西林盛置业有限公司,2018,国家税务总局大余县税务局南安税务分局
360723784141660,大余新城富康医院,2018,国家税务总局大余县税务局新城税务分局
91360723693734225B,大余县欧飞电子有限公司,2018,国家税务总局大余县税务局第二税务分局
9136070066747292XE,铭振精密模具(大余)有限公司,2018,国家税务总局大余县税务局第二税务分局
91360723667499065H,大余县章源民爆器材专营有限公司,2018,国家税务总局大余县税务局第二税务分局
360723688538369,大余明发矿业有限公司,2018,国家税务总局大余县税务局第二税务分局
91360700571151988N,大余县润通小额贷款股份有限公司,2018,国家税务总局大余县税务局第二税务分局
913607235560475684,大余县亚洲纸品有限公司,2018,国家税务总局大余县税务局第二税务分局
91360723696086737L,江西众能光电科技有限公司,2018,国家税务总局大余县税务局第二税务分局
91360700775882782Q,大余纬格电子科技有限公司,2018,国家税务总局大余县税务局第二税务分局
91360723550886520E,大余县源丰炭厂,2018,国家税务总局大余县税务局黄龙税务分局
913607235508741756,江西洪城水业环保有限公司大余分公司,2018,国家税务总局大余县税务局第二税务分局
91360723576133527Y,江西赣州银座村镇银行股份有限公司大余支行,2018,国家税务总局大余县税务局第二税务分局
91360723343180461C,大余县鼎盛建材贸易有限公司,2018,国家税务总局大余县税务局第二税务分局
91360723596501120B,大余温氏畜牧有限公司,2018,国家税务总局大余县税务局黄龙税务分局
913607825937976246,赣州蓝海新材料有限公司,2018,国家税务总局大余县税务局第二税务分局
91360600746085063X,江西硕峰实业有限公司,2018,国家税务总局鹰潭高新技术产业开发区税务局税源管理科
913606007460554892,江西天施康中药股份有限公司,2018,国家税务总局鹰潭高新技术产业开发区税务局税源管理科
913605023147922156,新余市川美化工有限公司,2018,国家税务总局新余市渝水区税务局税源管理股
91360500669764264X,新余市盛社冶金炉料有限公司,2018,国家税务总局新余市渝水区税务局税源管理股
9136050067795034X5,新余鼎鑫新型材料有限公司,2018,国家税务总局新余市渝水区税务局下村税务分局
91360500674995585T,江西中成胶业制品有限公司,2018,国家税务总局新余市渝水区税务局税源管理股
91360500677977382P,新余市鼎淳冶金科技有限公司,2018,国家税务总局新余市渝水区税务局下村税务分局
91360502674969969E,新余兴和园林有限公司,2018,国家税务总局新余市渝水区税务局第二税务分局
91360502787267998X,新余黄氏商贸有限公司,2018,国家税务总局新余市渝水区税务局税源管理股
91360502789724486Y,江西博远科技设备有限公司,2018,国家税务总局新余市渝水区税务局下村税务分局
913605007841223634,新余市科宇能源科技发展有限公司,2018,国家税务总局新余市渝水区税务局税源管理股
91360500563805208Y,新余蒙和硅灰石有限公司,2018,国家税务总局新余市渝水区税务局第二税务分局
9136050056384707X9,新余市良华链铸保护渣有限公司,2018,国家税务总局新余市渝水区税务局第二税务分局
91360500561052855W,新余市都梁矿业有限责任公司,2018,国家税务总局新余市渝水区税务局税源管理股
913605007363873755,新余市盛达丰电工材料有限公司,2018,国家税务总局新余市渝水区税务局城南税务分局
91360500327648685X,江西益盟科技有限公司,2018,国家税务总局新余市渝水区税务局下村税务分局
360502677960601,新余世和精密机械制造有限公司,2018,国家税务总局新余市渝水区税务局第二税务分局
913605007056695999,新余市龙发机械制造有限公司,2018,国家税务总局新余市渝水区税务局下村税务分局
913605005662756281,新余市亿尔科技有限公司,2018,国家税务总局新余市渝水区税务局第二税务分局
360502561063378,新余佳朗钢材配送有限公司,2018,国家税务总局新余市渝水区税务局第二税务分局
91360500731989668D,新余市俊伟工贸有限公司,2018,国家税务总局新余市渝水区税务局税源管理股
360502563833815,新余市鑫钦物资有限责任公司,2018,国家税务总局新余市渝水区税务局第二税务分局
91360500677974966E,新余市天顺水利工程建筑有限公司,2018,国家税务总局新余市渝水区税务局罗坊税务分局
360502705665221,新余长新机械制造厂,2018,国家税务总局新余市渝水区税务局第二税务分局
91360502L048085529,新余市博朗滑导电器厂,2018,国家税务总局新余市渝水区税务局税源管理股
91360500677968099W,新余市博奥贸易有限公司,2018,国家税务总局新余市渝水区税务局税源管理股
91360500674990848W,新余市达辉物资有限公司,2018,国家税务总局新余市渝水区税务局第二税务分局
91360500680920547U,新余凯美精密机械制造有限公司,2018,国家税务总局新余市渝水区税务局税源管理股
360502561050809,新余良山丽景园林有限公司,2018,国家税务总局新余市渝水区税务局第二税务分局
91360500563818594A,新余市桥必机电设备有限公司,2018,国家税务总局新余市渝水区税务局第二税务分局
913605021599110412,新余市钢城机械制造厂,2018,国家税务总局新余市渝水区税务局税源管理股
91360500754222662E,新余市蓝天碧水环保有限公司,2018,国家税务总局新余市渝水区税务局第二税务分局
91360502333007964A,新余市林瑞工贸有限公司,2018,国家税务总局新余市渝水区税务局第二税务分局
9136050205440211XK,新余市欣盛汽运有限公司,2018,国家税务总局新余市渝水区税务局下村税务分局
360502716575723,新余市仙女湖化工建材有限责任公司,2018,国家税务总局新余市渝水区税务局第二税务分局
913605006834795150,新余市英磊工贸有限公司,2018,国家税务总局新余市渝水区税务局第二税务分局
91360500688519803W,新余市美索贸易有限公司,2018,国家税务总局新余市渝水区税务局下村税务分局
91360500683453876F,江西鑫泰消防设备有限公司,2018,国家税务总局新余市渝水区税务局第二税务分局
91360500563817719M,新余聚源硅灰石有限公司,2018,国家税务总局新余市渝水区税务局第二税务分局
360502767034505,新余市义茂棉麻经营有限公司,2018,国家税务总局新余市渝水区税务局罗坊税务分局
91360502314785250Q,新余市锐翔优联实业有限公司,2018,国家税务总局新余市渝水区税务局第二税务分局
913605026909779506,新余天翔纱线有限公司,2018,国家税务总局新余市渝水区税务局下村税务分局
9136050075996119XH,新余市科星电子有限公司,2018,国家税务总局新余市渝水区税务局税源管理股
91360500763364814N,新余市正腾工贸有限公司,2018,国家税务总局新余市渝水区税务局税源管理股
91360500787298794P,新余市亿帆食品有限公司,2018,国家税务总局新余市渝水区税务局税源管理股
913605027897026077,新余市渝水区亿峰冶金材料厂,2018,国家税务总局新余市渝水区税务局税源管理股
913605027897392230,新余市大众调味商贸有限公司,2018,国家税务总局新余市渝水区税务局税源管理股
91360500680933735D,新余市中鹏贸易有限公司,2018,国家税务总局新余市渝水区税务局第二税务分局
91360502674955284L,新余市恒强冀磊新型建材有限公司,2018,国家税务总局新余市渝水区税务局第二税务分局
360502571167322,新余市钦钰工贸有限公司,2018,国家税务总局新余市渝水区税务局罗坊税务分局
360502566282414,新余市渝水区罗坊农委加油站,2018,国家税务总局新余市渝水区税务局罗坊税务分局
91360500581623491H,新余丽景贸易有限公司,2018,国家税务总局新余市渝水区税务局第二税务分局
913605000674759248,新余海桦电子有限公司,2018,国家税务总局新余市渝水区税务局税源管理股
91360502067462859L,新余市亿鑫工贸有限公司,2018,国家税务总局新余市渝水区税务局第二税务分局
913605007872613266,新余市军安运输产业有限公司汽车修理厂,2018,国家税务总局新余市渝水区税务局税源管理股
913605021599129684,新余市良山镇周宇砂轮厂,2018,国家税务总局新余市渝水区税务局第二税务分局
91360500767001965H,新余市宏雁物资有限公司,2018,国家税务总局新余市渝水区税务局第二税务分局
91360502685991141U,新余市广润商贸有限公司,2018,国家税务总局新余市渝水区税务局第二税务分局
360502696059835,新余市瑞艺矿产品有限公司,2018,国家税务总局新余市渝水区税务局下村税务分局
91360500688528646F,新余市凯丰机械配件有限公司,2018,国家税务总局新余市渝水区税务局下村税务分局
91360500696080298H,新余市钢之城贸易有限公司,2018,国家税务总局新余市渝水区税务局城南税务分局
9136050068852651XF,新余市广德物资有限公司,2018,国家税务总局新余市渝水区税务局罗坊税务分局
9136050058164425XF,新余市丰硕工贸有限公司,2018,国家税务总局新余市渝水区税务局第二税务分局
91360500573641788J,新余盛德贸易有限公司,2018,国家税务总局新余市渝水区税务局第二税务分局
913605005535009101,江西省天远公铁联运有限公司,2018,国家税务总局新余市渝水区税务局第二税务分局
360502071825923,新余宇稀废旧金属回收有限公司,2018,国家税务总局新余市渝水区税务局第二税务分局
91360500677966157R,新余市建鑫汽车运输有限责任公司,2018,国家税务总局新余市渝水区税务局税源管理股
91360500576129253K,新余市鑫利运输有限公司,2018,国家税务总局新余市渝水区税务局第二税务分局
360502693717409,江西新一川工贸有限公司,2018,国家税务总局新余市渝水区税务局罗坊税务分局
9336050267495365X1,新余市邦甫肉牛农民专业合作社,2018,国家税务总局新余市渝水区税务局罗坊税务分局
91360500690960307D,新余市夏威夷科技实业有限公司,2018,国家税务总局新余市渝水区税务局第二税务分局
91360500688517154Y,新余市双路贸易有限公司,2018,国家税务总局新余市渝水区税务局第二税务分局
360502576100506,新余市乾泰工贸有限公司,2018,国家税务总局新余市渝水区税务局第二税务分局
9136050059886657X3,江西中耀工贸有限公司,2018,国家税务总局新余市渝水区税务局税源管理股
91360502L075397658,新余市良山世圣机械制造厂,2018,国家税务总局新余市渝水区税务局第二税务分局
91360500769788191R,新余市金珠矿业有限责任公司,2018,国家税务总局新余市渝水区税务局第二税务分局
913605007633966721,江西剑安消防科技有限责任公司,2018,国家税务总局新余市渝水区税务局税源管理股
913605025711926754,新余市华远硅灰石有限责任公司,2018,国家税务总局新余市渝水区税务局下村税务分局
913605005840242670,新余市巨人起重机械销售有限公司,2018,国家税务总局新余市渝水区税务局第二税务分局
913605005965154852,新余市瑞舟工贸有限公司,2018,国家税务总局新余市渝水区税务局第二税务分局
91360500051645220T,江西德盛气体有限公司,2018,国家税务总局新余市渝水区税务局税源管理股
91360500054415164U,新余市春秋科技有限公司,2018,国家税务总局新余市渝水区税务局第二税务分局
9136050075998851X2,新余市富丰润滑油有限责任公司,2018,国家税务总局新余市渝水区税务局税源管理股
91360500751117808D,新余市恒利物资有限公司,2018,国家税务总局新余市渝水区税务局税源管理股
913605025508732281,新余市渝水区永新银制品有限公司,2018,国家税务总局新余市渝水区税务局下村税务分局
913605006984759399,新余市凯尉气体有限公司,2018,国家税务总局新余市渝水区税务局税源管理股
91360500693749988R,新余市瑞新矿业有限公司,2018,国家税务总局新余市渝水区税务局下村税务分局
913605005892016727,新余市力诚工贸有限公司,2018,国家税务总局新余市渝水区税务局第二税务分局
91360502056421621Y,新余市浩复工贸有限公司,2018,国家税务总局新余市渝水区税务局第二税务分局  (责任编辑：admin)
360502775891005,新余市渝水区志锋锻造厂,2018,国家税务总局新余市渝水区税务局税源管理股
913605007511151830,新余市宝诚贸易有限公司,2018,国家税务总局新余市渝水区税务局第二税务分局
91360500553543638F,新余市玥昕气体有限公司,2018,国家税务总局新余市渝水区税务局税源管理股
913605025508656079,新余市伟辉物资有限公司,2018,国家税务总局新余市渝水区税务局第二税务分局
91360500561063335D,新余翔威贸易有限公司,2018,国家税务总局新余市渝水区税务局第二税务分局
91360500591818241L,江西艾弗尔实业有限公司,2018,国家税务总局新余市渝水区税务局第二税务分局
91360500589241076G,江西大智科技有限公司,2018,国家税务总局新余市渝水区税务局税源管理股
91360500593787944E,新余市昱晨化工有限公司,2018,国家税务总局新余市渝水区税务局下村税务分局
91360500051645829Q,新余市大恒矿业有限公司,2018,国家税务总局新余市渝水区税务局罗坊税务分局
91360502060768468K,新余市新动数码科技有限公司,2018,国家税务总局新余市渝水区税务局第二税务分局
360502060773478,江西南晨科技发展有限公司,2018,国家税务总局新余市渝水区税务局罗坊税务分局
913605027969889731,新余市珠珊标牌厂,2018,国家税务总局新余市渝水区税务局税源管理股
91360500754228001E,新余市繁盛工贸有限公司,2018,国家税务总局新余市渝水区税务局税源管理股
360502553522925,新余市鑫达耐火材料有限公司,2018,国家税务总局新余市渝水区税务局税源管理股
91360500556034740J,江西君丰锐驰工程技术开发有限公司,2018,国家税务总局新余市渝水区税务局第二税务分局
91360500698451718C,江西赛达能效技术有限公司,2018,国家税务总局新余市渝水区税务局第二税务分局
91360500578773691F,新余市富益达优特钢材加工有限公司,2018,国家税务总局新余市渝水区税务局第二税务分局
91360502586565454D,新余市渝水区江南红农业发展有限公司,2018,国家税务总局新余市渝水区税务局税源管理股
